37.5,6.4,1536
51.5,10.2,5358.06
61.3,12.4,9425.488
61.3,13,10359.7
63.6,13.2,11081.664
66.1,13,11170.9
70,12.7,11290.3
92.7,13.9,17910.567
90.5,15.5,21742.625
90.5,15.8,22592.42
94.8,15.8,23665.872
97,16.8,27377.28
97,17.1,28363.77
97,17.8,30733.48
102,14.8,22342.08
102,15.5,24505.5
103.6,16.1,26854.156
100.4,16.2,26348.976
108.4,17.9,34732.444
114,15.9,28820.34
115.3,15.8,28783.492
114.9,16.7,32044.461
114.7,17.6,35529.472
123.6,16.8,34884.864
125.8,17,36356.2
119.1,18.2,39450.684
118.9,19.2,43831.296
141.1,18.6,48814.956
37.657,6.4777,1580.110212
51.703,10.036,5207.593167
61.113,12.503,9553.490275
61.507,12.766,10023.84229
63.666,13.088,10905.71484
65.899,12.773,10751.39081
69.889,12.499,10918.40909
92.723,14.062,18335.03156
90.729,15.597,22071.31802
90.732,15.709,22390.17889
94.629,16.025,24300.78634
97.235,16.567,26687.65182
97.229,17.069,28327.74314
96.993,17.741,30527.87566
102.15,14.933,22778.88705
101.82,15.648,24931.63543
103.56,15.943,26322.80303
100.61,16.195,26387.7921
108.55,17.873,34675.6602
114.23,15.973,29144.26855
115.38,15.905,29187.5661
114.67,16.827,32468.57302
114.87,17.488,35130.70864
123.82,16.89,35322.39142
125.89,17.078,36716.83619
119.23,18.031,38763.69526
119.02,19.009,43006.93448
141.05,18.599,48792.41108
140.21,18.021,45534.10059
138.7,18.651,48248.1544
135.08,17.991,43722.16502
131.31,17.341,39486.267
39.209,7.8219,2398.889728
38.609,7.4098,2119.832397
,15.26516774,1572627.755
